movieid,isEnglish,country,runningtime,title,year
1760449,T,UK,2,Bedrooms and Hallways (1998),1998
1760586,T,other,2,Beefcake (1998),1998
1760752,T,USA,1,Beetle Juice (1988),1988
1760876,T,USA,2,Before Sunrise (1995),1995
1760927,T,USA,2,Before and After (1996),1996
1760978,F,other,3,Before the Rain (1994),1994
1762161,T,UK,3,Being Human (1994),1994
1762174,T,USA,3,Being John Malkovich (1999),1999
1762229,T,USA,3,Being There (1979),1979
1762644,T,USA,2,Belizaire the Cajun (1986),1986
1762654,T,USA,2,Bell Book and Candle (1958),1958
1762853,F,France,2,Belle de jour (1967),1967
1763019,T,other,2,Belly (1998),1998
1763083,T,USA,3,Beloved (1998),1998
1763465,T,USA,3,Ben-Hur (1959),1959
1763653,T,USA,1,Beneath the Planet of the Apes (1970),1970
1763877,T,USA,1,Benji (1974),1974
1763883,T,USA,1,Benji the Hunted (1987),1987
1763910,T,USA,2,Benny & Joon (1993),1993
1763974,T,UK,2,Bent (1997),1997
1764861,T,other,1,Besieged (1998),1998
1765082,T,USA,1,Best Laid Plans (1999),1999
1765108,T,USA,1,Best Men (1997),1997
1765164,T,USA,1,Best in Show (2000),2000
1765347,T,USA,1,Best of the Best 3: No Turning Back (1995),1995
1765652,T,USA,3,Betrayed (1988),1988
1765787,T,USA,1,Better Living (1998),1998
1765789,T,USA,1,Better Living Through Circuitry (1999),1999
1765811,T,USA,2,Better Off Dead... (1985),1985
1765827,T,other,2,Better Than Chocolate (1999),1999
1766407,T,USA,2,Beverly Hills Cop III (1994),1994
1766427,T,USA,1,Beverly Hills Ninja (1997),1997
1766668,T,UK,1,Beyond Bedlam (1994),1994
1766849,T,UK,2,Beyond Rangoon (1995),1995
1766884,T,USA,0,Beyond Silence (1960),1960
1767110,T,USA,2,Beyond the Mat (1999),1999
1767151,T,USA,3,Beyond the Poseidon Adventure (1979),1979
1767537,T,UK,2,Bhaji on the Beach (1993),1993
1768211,F,other,2,Bian Lian (1997),1997
1768389,T,USA,3,Bicentennial Man (1999),1999
1768698,T,USA,3,Big (1988),1988
1769145,T,USA,1,Big Bully (1996),1996
1769408,T,USA,1,Big Daddy (1999),1999
1769516,T,UK,1,Big Fella (1937),1937
1769766,T,USA,2,Big Momma's House (2000),2000
1769840,T,USA,2,Big Night (1996),1996
1770285,T,USA,2,Big Trouble in Little China (1986),1986
1770807,T,USA,2,Bikini Beach (1964),1964
1771528,T,USA,1,Billy Madison (1995),1995
1771672,T,other,1,Billy's Holiday (1995),1995
1771673,T,USA,1,Billy's Hollywood Screen Kiss (1998),1998
1772092,T,USA,1,Bio-Dome (1996),1996
1772497,T,USA,2,Bird of Prey (1995),1995
1772500,T,USA,3,Bird on a Wire (1990),1990
1772651,T,USA,3,Birdy (1984),1984
1772934,T,other,3,Bis ans Ende der Welt (1991),1991
1773358,T,France,3,Bitter Moon (1992),1992
1773436,T,USA,1,Bittersweet Motel (2000),2000
1773944,T,USA,1,Black Beauty (1994),1994
1774349,T,USA,1,Black Dog (1998),1998
1775245,T,USA,1,Black Sheep (1996),1996
1775382,T,USA,1,Black Tar Heroin: The Dark End of the Street (2000),2000
1775563,T,UK,0,Black and White (1910),1910
1775747,T,USA,2,Blackbeard's Ghost (1968),1968
1775854,T,UK,1,Blackmail (1929),1929
1776052,T,USA,3,Blade (1998),1998
1776063,T,USA,3,Blade Runner (1982),1982
1776173,T,USA,2,Blame It on Rio (1984),1984
1776338,T,USA,1,Blank Check (1994),1994
1776407,T,USA,3,Blast from the Past (1999),1999
1776556,T,USA,1,Blazing Saddles (1974),1974
1776732,T,USA,2,Bless the Child (2000),2000
1776893,T,USA,1,Blind Date (1987),1987
1777297,T,USA,2,Blink (1994),1994
1777374,T,other,2,Bliss (1997),1997
1777932,T,USA,1,Blood Beach (1980),1980
1778025,T,USA,1,Blood Feast (1963),1963
1778258,T,USA,2,Blood Simple. (1984),1984
1778411,T,USA,2,Blood and Wine (1996),1996
1778413,T,other,2,Blood for Dracula (1974),1974
1778514,T,USA,2,Blood on the Sun (1945),1945
1778536,T,USA,1,"Blood, Guts, Bullets and Octane (1998)",1998
1778697,T,USA,1,Bloodsport (1988),1988
1778699,T,USA,1,Bloodsport 2 (1996),1996
1779176,T,USA,3,Blown Away (1994),1994
1779201,T,UK,3,Blowup (1966),1966
1779349,T,USA,2,Blue Chips (1994),1994
1779361,T,USA,3,Blue Collar (1978),1978
1779474,T,USA,2,Blue Hawaii (1961),1961
1779528,T,UK,1,Blue Juice (1995),1995
1779735,T,USA,2,Blue Sky (1994),1994
1779757,T,USA,1,Blue Streak (1999),1999
1779835,T,USA,3,Blue Velvet (1986),1986
1779868,T,USA,1,Blue in the Face (1995),1995
1779914,T,USA,1,Bluebeard (1944),1944
1780022,T,USA,3,Blues Brothers 2000 (1998),1998
1780595,T,USA,2,Bob Roberts (1992),1992
1780992,F,other,2,Boca a boca (1995),1995
1781241,T,USA,3,Body Heat (1981),1981
1781274,T,USA,1,Body Parts (1991),1991
1781295,T,USA,2,Body Shots (1999),1999
1781303,T,USA,1,Body Snatchers (1993),1993
1781518,T,USA,3,Bogus (1996),1996
1781597,T,USA,3,Boiler Room (2000),2000
1781603,T,USA,1,Boiling Point (1978),1978
1783029,T,USA,3,Bonnie and Clyde (1967),1967
1783282,T,USA,3,Boogie Nights (1997),1997
1783500,T,USA,3,Boomerang (1992),1992
1783641,T,USA,1,Bootmen (2000),2000
1783685,T,USA,1,Booty Call (1997),1997
1783892,T,USA,1,Bordello of Blood (1996),1996
1784129,T,USA,2,Boricua's Bond (2000),2000
1784206,T,USA,2,Born American (1986),1986
1784275,T,USA,2,Born Yesterday (1950),1950
1784416,T,USA,1,Born to Win (1971),1971
1784663,F,other,0,Bossa Nova (1964),1964
1784877,T,USA,1,Bottle Rocket (1996),1996
1785170,T,USA,2,Bound (1996),1996
1785251,T,USA,3,Bound by Honor (1993),1993
1785265,T,USA,3,Bound for Glory (1976),1976
1785529,T,USA,2,Bowfinger (1999),1999
1785755,T,USA,2,Boxing Helena (1993),1993
1786099,T,USA,1,Boys (1996),1996
1786124,T,USA,3,Boys Don't Cry (1999),1999
1786136,T,USA,1,Boys Life 2 (1997),1997
1786142,T,USA,1,"Boys Life: Three Stories of Love, Lust, and Liberation (1994)",1994
1786183,T,USA,1,Boys and Girls (2000),2000
1786236,T,USA,3,Boys on the Side (1995),1995
1786413,T,USA,2,Braddock: Missing in Action III (1988),1988
1786566,T,other,2,Braindead (1992),1992
1786921,T,UK,2,Brassed Off (1996),1996
1787090,T,USA,3,Braveheart (1995),1995
1787149,T,UK,3,Brazil (1985),1985
1787428,T,other,1,Breakdown (1951),1951
1787511,T,USA,3,Breakfast at Tiffany's (1961),1961
1787525,T,USA,3,Breakfast of Champions (1999),1999
1787603,T,USA,2,Breaking Away (1979),1979
1787911,T,other,3,Breaking the Waves (1996),1996
1788154,T,USA,1,Breathing Room (1996),1996
1788165,T,USA,2,Breathless (1983),1983
1788314,T,USA,1,Brenda Starr (1989),1989
1788621,T,other,1,Bride of Chucky (1998),1998
1788624,T,USA,1,Bride of Frankenstein (1935),1935
1788628,T,USA,2,Bride of Re-Animator (1989),1989
1788636,T,USA,1,Bride of the Monster (1955),1955
1788817,T,UK,1,Brief Encounter (1945),1945
1789015,T,USA,2,Brighton Beach Memoirs (1986),1986
1789145,T,USA,2,Bring It On (2000),2000
1789259,T,USA,3,Bringing Out the Dead (1999),1999
1789269,T,USA,2,Bringing Up Baby (1938),1938
1789511,T,USA,1,British Intelligence (1940),1940
1789692,T,USA,3,Broadcast News (1987),1987
1789747,T,USA,3,Broadway Damage (1997),1997
1789910,T,USA,2,Brokedown Palace (1999),1999
1790007,T,USA,2,Broken Arrow (1996),1996
1790082,T,other,1,Broken English (1996),1996
1790311,T,USA,1,Broken Vessels (1998),1998
1790523,T,USA,3,Bronco Billy (1980),1980
1790530,F,other,1,Bronenosets Potyomkin (1925),1925
1790753,T,UK,2,Brother Can You Spare a Dime (1975),1975
1790780,T,USA,3,Brother Minister: The Assassination of Malcolm X (1994),1994
1790984,T,UK,2,Brothers in Trouble (1995),1995
1791085,T,USA,2,Brown's Requiem (1998),1998
1792102,T,USA,2,Buck and the Preacher (1972),1972
1792218,T,USA,1,Bud Abbott Lou Costello Meet Frankenstein (1948),1948
1792281,F,other,1,Budbringeren (1997),1997
1792349,T,USA,1,Buddy (1997),1997
1792363,T,USA,2,Buddy Boy (1999),1999
1792523,T,other,2,Buena Vista Social Club (1999),1999
1792625,T,USA,3,Buffalo '66 (1998),1998
1792713,T,USA,1,Buffy the Vampire Slayer (1992),1992
1793297,T,USA,2,Bull Durham (1988),1988
1793433,T,USA,1,Bulletproof (1996),1996
1793451,T,USA,2,Bullets Over Broadway (1994),1994
1793604,T,USA,2,Bulworth (1998),1998
1794215,F,other,2,Bure baruta (1998),1998
1794255,T,USA,2,Burglar (1987),1987
1794772,T,USA,3,Burnt Offerings (1976),1976
1795157,T,USA,1,Bushwhacked (1995),1995
1795427,T,USA,1,Bustin' Loose (1981),1981
1795631,T,USA,1,But I'm a Cheerleader (1999),1999
1795698,T,USA,3,Butch Cassidy and the Sundance Kid (1969),1969
1795997,T,UK,1,Butterfly Kiss (1995),1995
1796704,T,USA,2,Bye Bye Love (1995),1995
1796731,F,France,2,Bye-Bye (1995),1995
1797310,T,other,2,Büvös vadász (1994),1994
1797365,T,other,3,C'era una volta il West (1968),1968
1797386,F,other,1,C'est arrivé près de chez vous (1992),1992
1798275,T,USA,3,Cabaret (1972),1972
1798372,T,USA,1,Cabin Boy (1994),1994
1798632,T,USA,2,Caddyshack (1980),1980
1799339,T,USA,1,Calendar Girl (1993),1993
1799603,F,other,1,Caligula (1996),1996
1801311,T,USA,2,Can't Hardly Wait (1998),1998
1801574,T,USA,1,Canadian Bacon (1995),1995
1801936,T,UK,2,Candleshoe (1977),1977
1802055,T,USA,2,Candyman (1992),1992
1802058,T,USA,1,Candyman: Farewell to the Flesh (1995),1995
1802287,F,other,1,Cannibal ferox (1981),1981
1802676,T,USA,2,Cape Fear (1962),1962
1802677,T,USA,3,Cape Fear (1991),1991
1803115,T,UK,3,Captain Horatio Hornblower R.N. (1951),1951
1803357,T,UK,2,Captives (1994),1994
1803905,T,UK,1,Career Girls (1997),1997
1803921,T,other,2,Careful (1992),1992
1804232,T,USA,3,Carlito's Way (1993),1993
1804427,F,France,3,Carmen (1984),1984
